hit_rate@1,map@5,mrr@5,ndcg@5,map@10,mrr@10,ndcg@10,prompt,input_type,file
56.25,72.39583333333333,72.39583333333333,77.83997232724515,73.4375,73.4375,80.0662672466703,<>,Full phrase,result/clip_vit_base_patch32/result.json
50.0,61.145833333333336,61.145833333333336,66.12118045281781,64.12202380952381,64.12202380952381,72.65710362500141,<>,Target word,result/clip_vit_base_patch32/result.json
56.25,66.875,66.875,73.42628702113329,67.56944444444444,67.56944444444444,75.30772449403318,Example of an image caption that explains <>.,Full phrase,result/clip_vit_base_patch32/result.json
50.0,59.06249999999999,59.06249999999999,62.99618045281781,62.03869047619048,62.03869047619048,70.7238262048508,Example of an image caption that explains <>.,Target word,result/clip_vit_base_patch32/result.json
37.5,61.979166666666664,61.979166666666664,71.58997232724515,61.979166666666664,61.979166666666664,71.58997232724515,This is <>.,Full phrase,result/clip_vit_base_patch32/result.json
37.5,50.0,50.0,54.713389855382246,54.56349206349207,54.56349206349207,65.21408383379908,This is <>.,Target word,result/clip_vit_base_patch32/result.json
50.0,66.66666666666666,66.66666666666666,72.02324383928644,68.25396825396825,68.25396825396825,75.98801464551966,<>,Full phrase,result/clip_vit_large_patch14/result.json
50.0,57.70833333333334,57.70833333333334,61.90397105025338,61.111111111111114,61.111111111111114,70.04465352649034,<>,Target word,result/clip_vit_large_patch14/result.json
43.75,58.54166666666666,58.54166666666666,65.7361410050375,60.21577380952381,60.21577380952381,69.79112981828163,Example of an image caption that explains <>.,Full phrase,result/clip_vit_large_patch14/result.json
31.25,43.4375,43.4375,49.62963742873522,47.40327380952381,47.40327380952381,59.5242314903781,Example of an image caption that explains <>.,Target word,result/clip_vit_large_patch14/result.json
56.25,68.22916666666666,68.22916666666666,73.07835040760193,70.01488095238095,70.01488095238095,77.24501707426859,This is <>.,Full phrase,result/clip_vit_large_patch14/result.json
37.5,49.895833333333336,49.895833333333336,56.039010498033704,53.30605158730158,53.30605158730158,64.20173170360286,This is <>.,Target word,result/clip_vit_large_patch14/result.json
56.25,72.08333333333333,72.08333333333333,77.56607388450233,73.125,73.125,79.79236880392746,<>,Full phrase,result/clip_vit_base_patch16/result.json
43.75,59.06249999999999,59.06249999999999,66.12118045281781,60.538194444444436,60.538194444444436,69.9742734056285,<>,Target word,result/clip_vit_base_patch16/result.json
56.25,66.66666666666666,66.66666666666666,71.82676793573903,68.60119047619047,68.60119047619047,76.13639618849749,Example of an image caption that explains <>.,Full phrase,result/clip_vit_base_patch16/result.json
37.5,51.041666666666664,51.041666666666664,57.02007889556063,54.64285714285714,54.64285714285714,65.36265723223104,Example of an image caption that explains <>.,Target word,result/clip_vit_base_patch16/result.json
50.0,67.39583333333333,67.39583333333333,74.00780237246103,68.4375,68.4375,76.23409729188617,This is <>.,Full phrase,result/clip_vit_base_patch16/result.json
43.75,57.8125,57.8125,65.09526435943675,59.48660714285714,59.48660714285714,69.15025317268089,This is <>.,Target word,result/clip_vit_base_patch16/result.json
50.0,67.91666666666667,67.91666666666667,74.44107388450233,68.80952380952381,68.80952380952381,76.52440721783566,<>,Full phrase,result/clip_vit_large_patch14_336/result.json
50.0,57.8125,57.8125,60.57835040760193,62.37599206349207,62.37599206349207,71.07904438601875,<>,Target word,result/clip_vit_large_patch14_336/result.json
43.75,59.583333333333336,59.583333333333336,67.94636591669394,60.62499999999999,60.62499999999999,70.17266083611906,Example of an image caption that explains <>.,Full phrase,result/clip_vit_large_patch14_336/result.json
25.0,40.3125,40.3125,47.37118045281781,44.60813492063492,44.60813492063492,57.59519626238811,Example of an image caption that explains <>.,Target word,result/clip_vit_large_patch14_336/result.json
62.5,71.35416666666667,71.35416666666667,75.38503944778031,73.13988095238095,73.13988095238095,79.55170611444697,This is <>.,Full phrase,result/clip_vit_large_patch14_336/result.json
37.5,50.10416666666666,50.10416666666666,57.63852958342797,52.73313492063492,52.73313492063492,63.829595309086315,This is <>.,Target word,result/clip_vit_large_patch14_336/result.json
